"Record ID",Date,Country,City,"Temperature (Â°C)","Humidity (%)","Precipitation (mm)","Air Quality Index (AQI)","Extreme Weather Events","Climate Classification",Climate_Zone,Biome_Type,Heat_Index,Wind_Speed,Wind_Direction,Season,Population_Exposure,Economic_Impact_Estimate,Infrastructure_Vulnerability_Score
aus_175,6/23/2024,Australia,Sydney,21.3,93,71.2,277,Flood,Koeppen-A,Arid,Grassland,26,32.3,SE,Summer,8686375,67665786.56,3
aus_176,6/24/2024,Australia,Sydney,40,12,17.9,97,Flood,Koeppen-B,Arid,Desert,40.6,9.5,S,Summer,2258816,7430826.24,7
aus_177,6/25/2024,Australia,Sydney,36.5,24,61.8,175,None,Koeppen-A,Arid,Tundra,37.7,30.5,N,Summer,1256741,65143551.06,3
aus_178,6/26/2024,Australia,Sydney,-4.9,52,111.1,186,Drought,Koeppen-A,Arid,Wetland,-2.3,15.1,NW,Summer,5938525,2672924.94,7
aus_179,6/27/2024,Australia,Sydney,31.1,27,172.4,42,None,Koeppen-D,Arid,Wetland,32.5,8.9,NE,Summer,3661562,69522638.17,4
aus_180,6/28/2024,Australia,Sydney,37.3,26,51.9,274,None,Koeppen-A,Arid,Forest,38.6,27.9,E,Summer,2246711,76086200.55,2
aus_181,6/29/2024,Australia,Sydney,24.8,73,188.8,39,None,Koeppen-A,Arid,Wetland,28.5,26.4,N,Summer,8601099,3342025.04,7
aus_182,6/30/2024,Australia,Sydney,32.1,77,17.8,461,None,Koeppen-C,Arid,Grassland,36,35.8,SW,Summer,5076493,26965228.1,8
aus_183,7/1/2024,Australia,Sydney,44.6,90,3.1,325,None,Koeppen-D,Arid,Forest,49.1,24.6,NE,Summer,1630232,56697485.4,6
aus_184,7/2/2024,Australia,Sydney,32.8,47,91.6,33,None,Koeppen-A,Arid,Tundra,35.1,20.1,S,Summer,2835001,40428114.43,4
aus_185,7/3/2024,Australia,Sydney,11.8,45,185.1,214,None,Koeppen-C,Arid,Grassland,14.1,35.8,SE,Summer,4998682,24913033.16,6
aus_186,7/4/2024,Australia,Sydney,35.6,18,88.4,439,None,Koeppen-D,Arid,Tundra,36.5,13.9,SW,Summer,9063644,3527919.12,6
aus_187,7/5/2024,Australia,Sydney,-7.4,67,194.7,124,None,Koeppen-A,Arid,Desert,-4.1,27.3,N,Summer,6697930,57093242.45,1
aus_188,7/6/2024,Australia,Sydney,27,59,83.1,196,Drought,Koeppen-A,Arid,Grassland,29.9,5.3,N,Summer,1988335,6098972.23,6
aus_189,7/7/2024,Australia,Sydney,-1.3,30,23.2,337,None,Koeppen-C,Arid,Tundra,0.2,36.6,S,Summer,9661770,24238488.55,4
aus_190,7/8/2024,Australia,Sydney,42.8,86,17.5,460,None,Koeppen-B,Arid,Wetland,47.1,12.6,NE,Summer,2743979,13138480.36,4
aus_191,7/9/2024,Australia,Sydney,7.9,82,164.3,489,None,Koeppen-C,Arid,Tundra,12,0.9,SW,Summer,5174784,573760.34,10
aus_192,7/10/2024,Australia,Sydney,40.9,74,13.9,67,None,Koeppen-C,Arid,Wetland,44.6,28.1,SW,Summer,7931187,87233708.59,7
aus_193,7/11/2024,Australia,Sydney,28.1,39,140.2,332,Flood,Koeppen-A,Arid,Forest,30.1,9.8,NE,Summer,1848760,99480387.25,10
aus_194,7/12/2024,Australia,Sydney,11.2,21,122,292,None,Koeppen-B,Arid,Wetland,12.2,9.4,NE,Summer,5922762,59639231.34,9
aus_195,7/13/2024,Australia,Sydney,26.7,29,14.4,434,Hurricane,Koeppen-A,Arid,Grassland,28.1,5.7,W,Summer,7338929,29884292.62,7
aus_196,7/14/2024,Australia,Sydney,2.1,76,118.4,122,None,Koeppen-A,Arid,Wetland,5.9,16,NW,Summer,5273257,49856703.05,2
aus_197,7/15/2024,Australia,Sydney,35.4,92,87.2,53,None,Koeppen-C,Arid,Grassland,40,21.5,SW,Summer,6851028,13050731.05,10
aus_198,7/16/2024,Australia,Sydney,44.6,49,157.6,129,None,Koeppen-D,Arid,Desert,47.1,7.6,SE,Summer,360803,62497002.62,8
aus_199,7/17/2024,Australia,Sydney,-0.1,97,72.9,393,None,Koeppen-C,Arid,Desert,4.8,15.5,W,Summer,8827351,68630180.57,4
aus_200,7/18/2024,Australia,Sydney,16,70,126,287,None,Koeppen-D,Arid,Grassland,19.5,27.4,SE,Summer,4407762,90878811.94,9
aus_201,7/19/2024,Australia,Sydney,34.5,52,74,128,None,Koeppen-D,Arid,Desert,37.1,17.1,E,Summer,6946467,35856779.46,2
aus_202,7/20/2024,Australia,Sydney,19.2,48,95.4,480,None,Koeppen-C,Arid,Wetland,21.6,15.7,SE,Summer,8208947,42107415.73,2
aus_203,7/21/2024,Australia,Sydney,15.1,50,10.1,222,None,Koeppen-C,Arid,Wetland,17.6,29.2,E,Summer,5372273,45581554.21,4
aus_204,7/22/2024,Australia,Sydney,17.8,14,47.3,488,None,Koeppen-B,Arid,Tundra,18.5,0.8,SE,Summer,3972620,11205809.76,7
aus_205,7/23/2024,Australia,Sydney,-0.5,97,93.8,441,Hurricane,Koeppen-B,Arid,Desert,4.4,10.5,SE,Summer,9198793,97581182.31,5
aus_206,7/24/2024,Australia,Sydney,16.3,50,161.7,285,None,Koeppen-C,Arid,Wetland,18.8,15.1,NW,Summer,4052655,95044225.14,5
aus_207,7/25/2024,Australia,Sydney,9.7,27,97.6,54,None,Koeppen-D,Arid,Wetland,11,15.3,SW,Summer,2094077,53899088.4,7
aus_208,7/26/2024,Australia,Sydney,5.5,72,154.9,14,None,Koeppen-C,Arid,Wetland,9.1,8.4,NE,Summer,1166820,46244690,1
aus_209,7/27/2024,Australia,Sydney,32.6,48,31.6,249,None,Koeppen-B,Arid,Forest,35,3.1,SE,Summer,1430705,72180736.41,10
aus_210,7/28/2024,Australia,Sydney,32.5,43,47.3,319,None,Koeppen-B,Arid,Desert,34.6,16,W,Summer,2986785,38971252.16,5
aus_211,7/29/2024,Australia,Sydney,14,55,16.5,398,None,Koeppen-B,Arid,Grassland,16.8,36.1,NE,Summer,7680782,69582711.29,10
aus_212,7/30/2024,Australia,Sydney,26.6,93,194.8,442,None,Koeppen-A,Arid,Desert,31.2,3.3,N,Summer,8539840,36915410.63,10
aus_213,7/31/2024,Australia,Sydney,30.3,57,26,118,Drought,Koeppen-D,Arid,Forest,33.1,13,W,Summer,9697851,29800766.05,5
aus_214,8/1/2024,Australia,Sydney,13.1,37,147.4,489,None,Koeppen-D,Arid,Wetland,14.9,12.4,S,Summer,6815154,35698621.51,4
aus_215,8/2/2024,Australia,Sydney,26.6,43,103.5,62,None,Koeppen-B,Arid,Tundra,28.8,29.1,N,Summer,2744398,8643380.34,6
aus_216,8/3/2024,Australia,Sydney,3.5,49,9,480,Heatwave,Koeppen-B,Arid,Wetland,6,27.3,W,Summer,7965194,71207024.59,7
aus_217,8/4/2024,Australia,Sydney,18,61,99.1,330,None,Koeppen-D,Arid,Desert,21.1,28.2,NE,Summer,2581701,61630091.83,10
aus_6,1/6/2024,Australia,Sydney,28.8,58,162.1,286,None,Koeppen-B,Arid,Grassland,31.7,28.5,SW,Winter,1419035,42316729.63,9
aus_218,8/5/2024,Australia,Sydney,1.5,50,193.5,88,None,Koeppen-B,Arid,Forest,4,7.7,SW,Summer,7412927,29344797.84,4
aus_219,8/6/2024,Australia,Sydney,-1.1,87,173.2,459,Flood,Koeppen-A,Arid,Grassland,3.3,24.3,E,Summer,1596884,40132968.92,7
aus_220,8/7/2024,Australia,Sydney,11.5,37,45.8,210,Heatwave,Koeppen-C,Arid,Wetland,13.3,37.7,S,Summer,5086985,53631954.91,1
aus_221,8/8/2024,Australia,Sydney,20,56,155.6,102,None,Koeppen-C,Arid,Grassland,22.8,28.2,W,Summer,310297,25254338.46,5
aus_222,8/9/2024,Australia,Sydney,8.8,62,98.8,240,None,Koeppen-B,Arid,Desert,11.9,38.3,E,Summer,6289661,67273213.41,7
aus_223,8/10/2024,Australia,Sydney,14.6,14,26.6,75,None,Koeppen-C,Arid,Desert,15.3,12.3,SE,Summer,5954235,95149546.27,5
aus_224,8/11/2024,Australia,Sydney,13.6,100,178.4,29,Drought,Koeppen-C,Arid,Tundra,18.6,37.3,W,Summer,5472047,55328544.29,3
aus_225,8/12/2024,Australia,Sydney,28.3,94,61.1,204,None,Koeppen-B,Arid,Tundra,33,21.2,SE,Summer,4027295,59013543.91,3
aus_226,8/13/2024,Australia,Sydney,22.7,87,58.6,134,None,Koeppen-D,Arid,Wetland,27.1,3.9,S,Summer,5765959,10108145.86,3
aus_227,8/14/2024,Australia,Sydney,27.7,17,140.1,165,Heatwave,Koeppen-C,Arid,Desert,28.6,19.5,E,Summer,4968643,60717902.32,7
aus_228,8/15/2024,Australia,Sydney,-1.4,47,69.6,88,Flood,Koeppen-A,Arid,Forest,1,8.1,NE,Summer,951496,72201656.78,3
aus_229,8/16/2024,Australia,Sydney,10.8,40,185.9,468,None,Koeppen-D,Arid,Wetland,12.8,3.9,E,Summer,1034396,27429148.35,1
aus_230,8/17/2024,Australia,Sydney,19.3,10,198.1,424,None,Koeppen-A,Arid,Desert,19.8,30.2,E,Summer,9682883,51877657.51,2
aus_231,8/18/2024,Australia,Sydney,25.1,11,182.2,387,None,Koeppen-A,Arid,Wetland,25.7,13.8,W,Summer,456831,62991684.89,8
aus_232,8/19/2024,Australia,Sydney,44.7,28,145.5,113,Flood,Koeppen-C,Arid,Forest,46.1,21,NE,Summer,7207651,51448665.83,1
aus_233,8/20/2024,Australia,Sydney,-2.1,78,48.7,430,Flood,Koeppen-A,Arid,Forest,1.8,19.6,SE,Summer,9365153,92941442.51,4
aus_234,8/21/2024,Australia,Sydney,12.8,88,19.8,338,Heatwave,Koeppen-D,Arid,Forest,17.2,29.4,N,Summer,5323572,56083937.7,10
aus_235,8/22/2024,Australia,Sydney,18.4,31,146.2,368,None,Koeppen-C,Arid,Desert,19.9,7.4,S,Summer,9933058,48213030.37,7
aus_236,8/23/2024,Australia,Sydney,28.9,59,32.1,161,None,Koeppen-C,Arid,Tundra,31.8,26,NE,Summer,2697054,52436935.01,2
aus_237,8/24/2024,Australia,Sydney,-3.1,54,30.1,245,None,Koeppen-A,Arid,Forest,-0.4,20.8,N,Summer,8777091,49636111.91,8
aus_238,8/25/2024,Australia,Sydney,41,90,73.9,51,None,Koeppen-B,Arid,Wetland,45.5,1.1,E,Summer,2947413,38884194.75,9
aus_239,8/26/2024,Australia,Sydney,30.3,70,192.3,434,None,Koeppen-D,Arid,Desert,33.8,14.6,SE,Summer,6489479,88974239.05,2
aus_240,8/27/2024,Australia,Sydney,1.3,95,146.2,117,None,Koeppen-A,Arid,Forest,6,0.8,W,Summer,4606645,65188545.21,7
aus_241,8/28/2024,Australia,Sydney,41.4,19,147.6,404,None,Koeppen-A,Arid,Wetland,42.4,31.2,SE,Summer,9923330,65055277.71,9
aus_242,8/29/2024,Australia,Sydney,-6,94,176.7,467,None,Koeppen-A,Arid,Grassland,-1.3,0.4,S,Summer,2970402,98617868.87,7
aus_243,8/30/2024,Australia,Sydney,40.2,69,167.1,303,None,Koeppen-B,Arid,Tundra,43.7,7.8,N,Summer,7623928,25421987.07,1
aus_244,8/31/2024,Australia,Sydney,4,83,80.6,141,None,Koeppen-D,Arid,Forest,8.2,9.6,SW,Summer,476609,82941898.95,3
aus_245,9/1/2024,Australia,Sydney,29.1,88,174,176,Heatwave,Koeppen-C,Arid,Forest,33.5,2.9,S,Autumn,8572719,83414921.99,7
aus_246,9/2/2024,Australia,Sydney,3.1,40,12.7,484,None,Koeppen-D,Arid,Forest,5.1,35.7,E,Autumn,7137027,3701092.73,10
aus_247,9/3/2024,Australia,Sydney,42.5,37,32.3,428,None,Koeppen-A,Arid,Desert,44.4,28,W,Autumn,3032186,29975302.42,6
aus_248,9/4/2024,Australia,Sydney,43,70,172.2,342,None,Koeppen-A,Arid,Wetland,46.5,39.2,SW,Autumn,2942545,69720748.67,9
aus_249,9/5/2024,Australia,Sydney,44.3,90,25.4,224,None,Koeppen-B,Arid,Tundra,48.8,20.8,NE,Autumn,151013,63699388.79,2
aus_250,9/6/2024,Australia,Sydney,-9.8,47,96.2,348,None,Koeppen-A,Arid,Wetland,-7.5,10.2,SW,Autumn,1341841,35343681.98,1
aus_251,9/7/2024,Australia,Sydney,9.9,49,6.7,203,None,Koeppen-C,Arid,Wetland,12.4,4.6,W,Autumn,4700689,63962397.56,10
aus_252,9/8/2024,Australia,Sydney,16.9,42,79.4,43,None,Koeppen-D,Arid,Wetland,19,27.4,NE,Autumn,4542643,25983692.58,2
aus_253,9/9/2024,Australia,Sydney,11.9,72,41.1,219,None,Koeppen-A,Arid,Forest,15.5,6.8,E,Autumn,8735612,24852752.3,9
aus_254,9/10/2024,Australia,Sydney,42.8,75,118.7,497,None,Koeppen-D,Arid,Grassland,46.5,11.8,SE,Autumn,7277092,97119258.47,9
aus_255,9/11/2024,Australia,Sydney,6.4,53,69.1,363,None,Koeppen-D,Arid,Grassland,9.1,2.9,SW,Autumn,5555248,33724813.11,3
aus_256,9/12/2024,Australia,Sydney,14.3,85,9.6,140,None,Koeppen-B,Arid,Tundra,18.6,33.9,NE,Autumn,4820553,75785349.08,9
aus_257,9/13/2024,Australia,Sydney,4.3,10,180.5,443,None,Koeppen-B,Arid,Wetland,4.8,26.6,SE,Autumn,2102229,15894660.58,3
aus_258,9/14/2024,Australia,Sydney,17.8,13,46.6,489,Drought,Koeppen-A,Arid,Tundra,18.4,30.3,SW,Autumn,9530766,75510284.74,7
aus_259,9/15/2024,Australia,Sydney,13.5,49,79,137,Flood,Koeppen-D,Arid,Wetland,15.9,24.2,SW,Autumn,7372903,11557219.33,9
aus_260,9/16/2024,Australia,Sydney,24.5,69,146.1,258,None,Koeppen-D,Arid,Desert,27.9,27.6,N,Autumn,3134325,63203709.85,2
aus_261,9/17/2024,Australia,Sydney,33.1,94,179.1,256,None,Koeppen-A,Arid,Forest,37.8,24.7,S,Autumn,6681538,48710737,4
aus_262,9/18/2024,Australia,Sydney,-8.7,75,33.3,352,Flood,Koeppen-C,Arid,Tundra,-4.9,4,SW,Autumn,3782628,67389328.19,4
aus_263,9/19/2024,Australia,Sydney,0.1,85,79.2,494,None,Koeppen-D,Arid,Desert,4.3,39.6,W,Autumn,9081845,96091058.24,3
aus_264,9/20/2024,Australia,Sydney,9.7,35,79.8,121,None,Koeppen-A,Arid,Wetland,11.4,29.7,NE,Autumn,9630694,96992154.73,7
aus_265,9/21/2024,Australia,Sydney,4.2,17,195.9,463,None,Koeppen-B,Arid,Wetland,5.1,37.8,SW,Autumn,8108680,76667560.37,8
aus_266,9/22/2024,Australia,Sydney,-5.8,74,1.9,220,None,Koeppen-A,Arid,Grassland,-2.1,20.1,NW,Autumn,8298711,33359071.65,10
aus_267,9/23/2024,Australia,Sydney,43.2,43,91.5,267,None,Koeppen-C,Arid,Grassland,45.4,25,N,Autumn,9566495,41867379.64,2
aus_268,9/24/2024,Australia,Sydney,2.8,39,66,353,Flood,Koeppen-A,Arid,Wetland,4.8,37,N,Autumn,7091581,11612590.36,4
aus_269,9/25/2024,Australia,Sydney,-2.2,66,162.4,32,None,Koeppen-A,Arid,Wetland,1.1,1.3,SW,Autumn,173624,35898887.03,6
aus_270,9/26/2024,Australia,Sydney,-8.7,96,81.6,33,None,Koeppen-C,Arid,Tundra,-3.9,36.7,SW,Autumn,4488033,21671330.01,1
aus_271,9/27/2024,Australia,Sydney,3.3,12,110.3,163,Hurricane,Koeppen-D,Arid,Desert,3.9,25.8,NW,Autumn,2821899,45808138.4,7
aus_272,9/28/2024,Australia,Sydney,13,33,126.8,421,None,Koeppen-A,Arid,Desert,14.7,29,NE,Autumn,6928308,33619182.78,3
aus_273,9/29/2024,Australia,Sydney,30.6,45,118.9,188,None,Koeppen-A,Arid,Desert,32.9,0.6,SW,Autumn,4613234,85434229.85,5
aus_274,9/30/2024,Australia,Sydney,7.2,18,101,384,None,Koeppen-C,Arid,Grassland,8.1,19.3,SE,Autumn,154763,10399161.76,8
aus_275,10/1/2024,Australia,Sydney,38.7,20,4.1,128,None,Koeppen-C,Arid,Tundra,39.7,18.8,SE,Autumn,3339087,63592167.83,9
aus_276,10/2/2024,Australia,Sydney,6.9,25,16.2,242,None,Koeppen-C,Arid,Desert,8.2,19.8,NW,Autumn,8644901,44112495,6
aus_277,10/3/2024,Australia,Sydney,2.8,83,37.6,287,None,Koeppen-D,Arid,Grassland,7,1.7,E,Autumn,8559589,85841313.1,1
aus_278,10/4/2024,Australia,Sydney,1.1,86,19.1,315,Flood,Koeppen-C,Arid,Wetland,5.4,24.2,SE,Autumn,4869978,38491331.23,1
aus_279,10/5/2024,Australia,Sydney,40.9,34,57.6,155,None,Koeppen-C,Arid,Grassland,42.6,5.1,W,Autumn,8698673,39355995.74,1
aus_280,10/6/2024,Australia,Sydney,12.7,24,20.7,465,None,Koeppen-B,Arid,Forest,13.9,32.5,E,Autumn,4555163,64502869.58,2
aus_281,10/7/2024,Australia,Sydney,14.6,74,21.1,499,None,Koeppen-D,Arid,Grassland,18.3,24.2,NW,Autumn,4261904,55725881.67,8
aus_282,10/8/2024,Australia,Sydney,5.5,62,42.5,100,None,Koeppen-B,Arid,Forest,8.6,33.2,NE,Autumn,4289006,61786740.51,7
aus_283,10/9/2024,Australia,Sydney,20.3,57,46.8,156,None,Koeppen-A,Arid,Tundra,23.2,35.3,S,Autumn,6823903,48485790.28,10
aus_284,10/10/2024,Australia,Sydney,26.7,94,79.9,143,Heatwave,Koeppen-A,Arid,Tundra,31.4,34.3,NW,Autumn,3474630,80081648.91,10
aus_285,10/11/2024,Australia,Sydney,45,77,100.9,443,None,Koeppen-C,Arid,Wetland,48.9,13.5,SE,Autumn,8694573,78527876.22,5
aus_286,10/12/2024,Australia,Sydney,16.3,87,166.2,457,None,Koeppen-D,Arid,Grassland,20.7,3.7,SW,Autumn,8400651,45383854.3,10
aus_287,10/13/2024,Australia,Sydney,7.7,16,76.8,99,Drought,Koeppen-D,Arid,Forest,8.5,30.6,E,Autumn,8500365,36340874.14,5
aus_288,10/14/2024,Australia,Sydney,-2.6,63,180.9,362,None,Koeppen-A,Arid,Desert,0.6,6,NW,Autumn,8301375,28620178.25,8
aus_289,10/15/2024,Australia,Sydney,25.8,68,89.3,305,None,Koeppen-C,Arid,Desert,29.2,27.6,SE,Autumn,2793372,44180104.13,5
aus_290,10/16/2024,Australia,Sydney,38.4,39,107.4,125,Heatwave,Koeppen-C,Arid,Wetland,40.4,14.7,N,Autumn,410417,61321223.12,8
aus_291,10/17/2024,Australia,Sydney,16.1,16,35.1,269,None,Koeppen-C,Arid,Forest,16.9,11,E,Autumn,6240736,7976925.93,3
aus_292,10/18/2024,Australia,Sydney,-0.7,66,77.1,405,None,Koeppen-A,Arid,Wetland,2.6,9.9,W,Autumn,7300033,79294395.49,7
aus_293,10/19/2024,Australia,Sydney,5,83,153,426,None,Koeppen-A,Arid,Wetland,9.2,31.6,S,Autumn,890649,19839876.61,10
aus_294,10/20/2024,Australia,Sydney,7.6,69,152.4,406,None,Koeppen-A,Arid,Tundra,11.1,8.5,SW,Autumn,4926329,82682481.46,1
aus_295,10/21/2024,Australia,Sydney,13.3,92,16.5,127,None,Koeppen-B,Arid,Wetland,17.9,11.6,W,Autumn,2379558,93854904.56,4
aus_296,10/22/2024,Australia,Sydney,22.1,26,127.7,416,None,Koeppen-D,Arid,Tundra,23.4,6.1,NW,Autumn,9516587,37657755.13,3
aus_297,10/23/2024,Australia,Sydney,37.5,90,88.3,184,None,Koeppen-C,Arid,Wetland,42,22.5,E,Autumn,1535160,94530020.17,9
aus_298,10/24/2024,Australia,Sydney,20.7,80,22.5,234,None,Koeppen-A,Arid,Tundra,24.7,12.5,NE,Autumn,564983,44309954.39,3
aus_299,10/25/2024,Australia,Sydney,0.6,59,174.9,336,Drought,Koeppen-B,Arid,Grassland,3.6,12.3,W,Autumn,296876,63046276.15,7
aus_300,10/26/2024,Australia,Sydney,-2.2,91,86.2,164,Heatwave,Koeppen-C,Arid,Wetland,2.3,36.2,E,Autumn,8542714,28347414.76,2
aus_301,10/27/2024,Australia,Sydney,30.9,48,120.8,29,None,Koeppen-B,Arid,Forest,33.3,18.2,SE,Autumn,1440923,25603558.46,3
aus_302,10/28/2024,Australia,Sydney,40.4,98,185,483,None,Koeppen-D,Arid,Desert,45.3,32.6,NE,Autumn,860694,42599725.4,9
aus_303,10/29/2024,Australia,Sydney,-8.2,88,117.6,310,Heatwave,Koeppen-B,Arid,Tundra,-3.8,2.2,NW,Autumn,3494482,83276182.68,5
aus_304,10/30/2024,Australia,Sydney,24.9,62,68.7,106,None,Koeppen-C,Arid,Tundra,28,26.8,NW,Autumn,2221343,87157310.43,5
aus_305,10/31/2024,Australia,Sydney,-2.5,92,50.4,40,None,Koeppen-D,Arid,Tundra,2.1,28.3,E,Autumn,1852046,56423804.46,10
aus_306,11/1/2024,Australia,Sydney,37.5,62,7.9,282,None,Koeppen-D,Arid,Tundra,40.6,37.7,E,Autumn,8841166,42394441.98,5
aus_307,11/2/2024,Australia,Sydney,3.5,54,90.5,62,None,Koeppen-A,Arid,Desert,6.2,19.1,N,Autumn,8970052,18188764.58,5
aus_308,11/3/2024,Australia,Sydney,21,21,21.1,390,None,Koeppen-B,Arid,Grassland,22.1,20.8,NE,Autumn,2859946,34805619.07,7
aus_309,11/4/2024,Australia,Sydney,36,42,99.6,76,Hurricane,Koeppen-B,Arid,Tundra,38.1,10.8,S,Autumn,5744036,56541465.48,10
aus_310,11/5/2024,Australia,Sydney,-5.7,67,105.2,259,None,Koeppen-A,Arid,Forest,-2.4,26.7,SE,Autumn,9461797,49740783.46,2
aus_311,11/6/2024,Australia,Sydney,38.7,11,153.1,284,None,Koeppen-D,Arid,Tundra,39.2,0.4,W,Autumn,4140662,23019797.76,5
aus_312,11/7/2024,Australia,Sydney,6.3,79,192.7,201,Flood,Koeppen-C,Arid,Wetland,10.2,13.4,E,Autumn,4760090,11453618.75,9
aus_313,11/8/2024,Australia,Sydney,34.3,19,20,464,None,Koeppen-C,Arid,Tundra,35.2,15,SW,Autumn,1271936,52468437.82,9
aus_314,11/9/2024,Australia,Sydney,21.2,82,142.2,23,None,Koeppen-B,Arid,Forest,25.3,37.3,W,Autumn,9620633,71679498.18,8
aus_315,11/10/2024,Australia,Sydney,3.5,92,32.9,213,None,Koeppen-C,Arid,Grassland,8.1,37.3,S,Autumn,7166887,88856960.15,9
aus_316,11/11/2024,Australia,Sydney,18.4,20,50.2,31,None,Koeppen-D,Arid,Wetland,19.4,27.9,SE,Autumn,1398787,25445823.91,7
aus_317,11/12/2024,Australia,Sydney,8.6,85,198.8,368,None,Koeppen-C,Arid,Forest,12.8,7.4,NE,Autumn,9643012,92324406.05,10
aus_318,11/13/2024,Australia,Sydney,-1,51,105.9,174,None,Koeppen-A,Arid,Wetland,1.6,27.4,W,Autumn,9531718,56357595.42,5
aus_319,11/14/2024,Australia,Sydney,15.6,83,29.8,175,None,Koeppen-A,Arid,Forest,19.8,21.4,E,Autumn,7712475,95401532.15,1
aus_320,11/15/2024,Australia,Sydney,10.4,70,132.9,223,None,Koeppen-C,Arid,Grassland,13.9,34,W,Autumn,7546327,75871763.34,7
aus_321,11/16/2024,Australia,Sydney,12.5,51,7.4,472,None,Koeppen-B,Arid,Desert,15.1,39.3,E,Autumn,4752254,3680163.99,8
aus_322,11/17/2024,Australia,Sydney,-0.5,99,97.4,275,None,Koeppen-C,Arid,Wetland,4.5,35.8,SE,Autumn,8281573,54075219.66,3
aus_323,11/18/2024,Australia,Sydney,4.7,98,27.1,492,Hurricane,Koeppen-A,Arid,Forest,9.6,15.4,E,Autumn,7998791,37804551.86,8
aus_324,11/19/2024,Australia,Sydney,36.1,77,81.8,282,None,Koeppen-A,Arid,Tundra,40,18,N,Autumn,1247278,17983505.47,2
aus_325,11/20/2024,Australia,Sydney,42.3,12,46.5,305,None,Koeppen-D,Arid,Wetland,42.9,10.4,W,Autumn,5698095,29043700.41,9
aus_326,11/21/2024,Australia,Sydney,-6.5,73,85.7,396,None,Koeppen-B,Arid,Wetland,-2.8,23.1,W,Autumn,7132514,47921805.8,4
aus_327,11/22/2024,Australia,Sydney,6.1,78,198,409,None,Koeppen-A,Arid,Tundra,10,35.5,NE,Autumn,4054297,48628469.1,9
aus_328,11/23/2024,Australia,Sydney,-6.1,59,58,91,None,Koeppen-C,Arid,Wetland,-3.1,5.1,E,Autumn,9561818,26235202.79,8
aus_329,11/24/2024,Australia,Sydney,26.7,38,57.1,194,Drought,Koeppen-C,Arid,Tundra,28.6,30.4,N,Autumn,17560,83234751.82,1
aus_330,11/25/2024,Australia,Sydney,24.4,62,75,69,None,Koeppen-B,Arid,Wetland,27.5,19,E,Autumn,9730209,64228604.54,10
aus_331,11/26/2024,Australia,Sydney,32.9,90,140.8,265,None,Koeppen-D,Arid,Wetland,37.4,8.8,E,Autumn,2538667,83017443.71,7
aus_332,11/27/2024,Australia,Sydney,-8.4,39,6.4,491,None,Koeppen-A,Arid,Grassland,-6.5,5.9,SW,Autumn,834643,65918243.91,4
aus_333,11/28/2024,Australia,Sydney,-2.5,42,145.5,94,None,Koeppen-B,Arid,Grassland,-0.4,16.7,SE,Autumn,3459004,26884326.4,2
aus_334,11/29/2024,Australia,Sydney,29.5,55,177.6,226,None,Koeppen-D,Arid,Grassland,32.2,16.3,SW,Autumn,5806115,75757855.83,5
aus_335,11/30/2024,Australia,Sydney,-9.6,36,55.4,352,None,Koeppen-D,Arid,Forest,-7.8,14.3,E,Autumn,4451644,63545263.94,10
aus_336,12/1/2024,Australia,Sydney,7.2,10,137.3,259,None,Koeppen-A,Arid,Desert,7.7,29.6,NW,Winter,5633489,76639559.92,2
aus_337,12/2/2024,Australia,Sydney,27.5,25,173.3,104,None,Koeppen-B,Arid,Forest,28.8,24.9,NE,Winter,430336,14318715.29,7
aus_338,12/3/2024,Australia,Sydney,24.8,24,122.4,347,None,Koeppen-A,Arid,Wetland,26,17.1,NW,Winter,8738415,14282704.35,10
aus_339,12/4/2024,Australia,Sydney,-6.1,14,153,47,Drought,Koeppen-C,Arid,Forest,-5.4,32.4,S,Winter,5840260,67534381.56,3
aus_340,12/5/2024,Australia,Sydney,-6.9,66,154.5,152,Flood,Koeppen-C,Arid,Desert,-3.6,35.6,SW,Winter,4274673,87312446.81,7
aus_341,12/6/2024,Australia,Sydney,43.9,56,53.6,39,Heatwave,Koeppen-D,Arid,Grassland,46.7,1.9,NE,Winter,8469673,6215709.38,6
aus_342,12/7/2024,Australia,Sydney,17,51,198.4,154,Flood,Koeppen-B,Arid,Desert,19.6,16.7,NE,Winter,616999,45223490.58,1
aus_343,12/8/2024,Australia,Sydney,28.1,97,115,476,None,Koeppen-B,Arid,Tundra,33,11.7,SW,Winter,4599829,67056721.12,2
aus_344,12/9/2024,Australia,Sydney,16.4,83,99.2,150,Flood,Koeppen-D,Arid,Grassland,20.5,28.6,W,Winter,1439218,34305646.24,4
aus_345,12/10/2024,Australia,Sydney,25.5,24,131.9,357,None,Koeppen-D,Arid,Wetland,26.7,16.4,W,Winter,9998170,64060920.36,7
aus_346,12/11/2024,Australia,Sydney,5.4,96,5.7,364,None,Koeppen-A,Arid,Tundra,10.2,16.5,NE,Winter,7296807,13115379.25,9
aus_347,12/12/2024,Australia,Sydney,32.7,21,106.9,333,None,Koeppen-C,Arid,Desert,33.8,31.6,SE,Winter,9900230,73843798.25,5
aus_348,12/13/2024,Australia,Sydney,21.2,85,194.2,442,None,Koeppen-A,Arid,Grassland,25.4,34.9,SE,Winter,3722043,92478669.77,9
aus_349,12/14/2024,Australia,Sydney,40.9,21,189.5,485,None,Koeppen-D,Arid,Forest,41.9,37.4,N,Winter,8493514,21554316.65,10
